"","year","lat","long","D1","D2","D3","D4_arrival","D5","D6","D7"
"196",2009,-80,36,NA,NA,NA,NA,NA,NA,NA
"197",2009,-80,34,NA,NA,NA,NA,NA,NA,NA
"198",2009,-82,42,NA,NA,NA,NA,NA,NA,NA
"199",2009,-82,40,NA,NA,NA,NA,NA,NA,NA
"200",2009,-82,38,NA,NA,NA,NA,NA,NA,NA
"201",2009,-82,36,NA,NA,NA,NA,NA,NA,NA
"202",2009,-82,34,NA,NA,NA,NA,NA,NA,NA
"203",2009,-82,32,NA,NA,NA,NA,NA,NA,NA
"204",2009,-84,42,NA,NA,NA,NA,NA,NA,NA
"205",2009,-84,40,NA,NA,NA,NA,NA,NA,NA
"206",2009,-84,38,NA,NA,NA,NA,NA,NA,NA
"207",2009,-84,36,NA,NA,NA,NA,NA,NA,NA
"208",2009,-84,34,NA,NA,NA,NA,NA,NA,NA
"209",2009,-84,32,NA,NA,NA,NA,NA,NA,NA
"210",2009,-86,38,NA,NA,NA,NA,NA,NA,NA
"211",2009,-86,36,NA,NA,NA,NA,NA,NA,NA
"212",2009,-86,32,NA,NA,NA,NA,NA,NA,NA
"213",2009,-88,44,NA,NA,NA,NA,NA,NA,NA
"214",2009,-88,42,NA,NA,NA,NA,NA,NA,NA
"215",2009,-88,40,NA,NA,NA,NA,NA,NA,NA
"216",2009,-88,38,NA,NA,NA,NA,NA,NA,NA
"217",2009,-88,36,NA,NA,NA,NA,NA,NA,NA
"218",2009,-88,34,NA,NA,NA,NA,NA,NA,NA
"219",2009,-90,44,NA,NA,NA,NA,NA,NA,NA
"220",2009,-90,42,NA,NA,NA,NA,NA,NA,NA
"221",2009,-90,40,NA,NA,NA,NA,NA,NA,NA
"222",2009,-90,36,NA,NA,NA,NA,NA,NA,NA
"223",2009,-92,44,NA,NA,NA,NA,NA,NA,NA
"224",2009,-92,42,NA,NA,NA,NA,NA,NA,NA
"225",2010,-72,44,NA,NA,NA,NA,NA,NA,NA
"226",2010,-72,42,NA,NA,NA,NA,NA,NA,NA
"227",2010,-72,40,NA,NA,NA,NA,NA,NA,NA
"228",2010,-74,44,NA,NA,NA,NA,NA,NA,NA
"229",2010,-74,42,NA,NA,NA,NA,NA,NA,NA
"230",2010,-74,40,NA,NA,NA,NA,NA,NA,NA
"231",2010,-76,44,NA,NA,NA,NA,NA,NA,NA
"232",2010,-76,42,NA,NA,NA,NA,NA,NA,NA
"233",2010,-76,40,NA,NA,NA,NA,NA,NA,NA
"234",2010,-76,38,NA,NA,NA,NA,NA,NA,NA
"235",2010,-78,42,NA,NA,NA,NA,NA,NA,NA
"236",2010,-78,40,NA,NA,NA,NA,NA,NA,NA
"237",2010,-78,38,NA,NA,NA,NA,NA,NA,NA
"238",2010,-78,36,NA,NA,NA,NA,NA,NA,NA
"239",2010,-80,42,NA,NA,NA,NA,NA,NA,NA
"240",2010,-80,40,NA,NA,NA,NA,NA,NA,NA
"241",2010,-80,38,NA,NA,NA,NA,NA,NA,NA
"242",2010,-80,36,NA,NA,NA,NA,NA,NA,NA
"243",2010,-80,34,NA,NA,NA,NA,NA,NA,NA
"244",2010,-82,42,NA,NA,NA,NA,NA,NA,NA
"245",2010,-82,40,NA,NA,NA,NA,NA,NA,NA
"246",2010,-82,38,NA,NA,NA,NA,NA,NA,NA
"247",2010,-82,36,NA,NA,NA,NA,NA,NA,NA
"248",2010,-82,34,NA,NA,NA,NA,NA,NA,NA
"249",2010,-82,32,NA,NA,NA,NA,NA,NA,NA
"250",2010,-82,30,NA,NA,NA,NA,NA,NA,NA
"251",2010,-84,42,NA,NA,NA,NA,NA,NA,NA
"252",2010,-84,40,NA,NA,NA,NA,NA,NA,NA
"253",2010,-84,38,NA,NA,NA,NA,NA,NA,NA
"254",2010,-84,36,NA,NA,NA,NA,NA,NA,NA
"255",2010,-84,34,NA,NA,NA,NA,NA,NA,NA
"256",2010,-84,32,NA,NA,NA,NA,NA,NA,NA
"257",2010,-86,44,NA,NA,NA,NA,NA,NA,NA
"258",2010,-86,42,NA,NA,NA,NA,NA,NA,NA
"259",2010,-86,40,NA,NA,NA,NA,NA,NA,NA
"260",2010,-86,38,NA,NA,NA,NA,NA,NA,NA
"261",2010,-86,36,NA,NA,NA,NA,NA,NA,NA
"262",2010,-86,34,NA,NA,NA,NA,NA,NA,NA
"263",2010,-86,32,NA,NA,NA,NA,NA,NA,NA
"264",2010,-88,44,NA,NA,NA,NA,NA,NA,NA
"265",2010,-88,42,NA,NA,NA,NA,NA,NA,NA
"266",2010,-88,40,NA,NA,NA,NA,NA,NA,NA
"267",2010,-88,38,NA,NA,NA,NA,NA,NA,NA
"268",2010,-88,36,NA,NA,NA,NA,NA,NA,NA
"269",2010,-90,44,NA,NA,NA,NA,NA,NA,NA
"270",2010,-90,42,NA,NA,NA,NA,NA,NA,NA
"271",2010,-90,40,NA,NA,NA,NA,NA,NA,NA
"272",2010,-90,36,NA,NA,NA,NA,NA,NA,NA
"273",2010,-92,46,NA,NA,NA,NA,NA,NA,NA
"274",2010,-92,44,NA,NA,NA,NA,NA,NA,NA
"275",2010,-92,42,NA,NA,NA,NA,NA,NA,NA
"276",2010,-94,44,NA,NA,NA,NA,NA,NA,NA
